foldername,idno_name
madison,99872_ MADISON      
taft,99894_ TAFT         
clinton,99909_ CLINTON      
carter,99906_ CARTER       
buchanan,99883_ BUCHANAN     
reagan,99907_ REAGAN       
garfield,None
taylor,None
fdroosevelt,99899_ ROOSEVELT F  
harrison,None
cleveland,99890_ CLEVELAND    
fillmore,None
truman,99900_ TRUMAN       
polk,99879_ POLK         
monroe,99873_ MONROE       
wilson,99895_ WILSON       
jackson,99875_ JACKSON      
gwbush,99910_ BUSH         
grant,99886_ GRANT        
bharrison,99891_ HARRISON B   
bush,99908_ BUSH         
jefferson,99871_ JEFFERSON    
vanburen,99876_ VAN BUREN    
mckinley,99892_ MCKINLEY     
hoover,None
harding,99896_ HARDING      
washington,None
pierce,99882_ PIERCE       
ford,99905_ FORD         
tyler,99878_ TYLER        
lbjohnson,99903_ JOHNSON      
coolidge,99897_ COOLIDGE     
eisenhower,99901_ EISENHOWER   
jqadams,99874_ ADAMS J Q    
obama,99911_ OBAMA        
lincoln,99884_ LINCOLN      
adams,None
johnson,None
kennedy,99902_ KENNEDY      
roosevelt,99893_ ROOSEVELT    
hayes,None
arthur,99889_ ARTHUR       
nixon,99904_ NIXON        
