,cong,idno_name,statenm,party,dwnom1
562,7,99871_ JEFFERSON    , USA    ,200,0.0209999997169
815,9,99871_ JEFFERSON    , USA    ,200,0.0209999997169
1103,11,99872_ MADISON      , USA    ,200,0.0799999982119
1254,12,99872_ MADISON      , USA    ,200,0.0799999982119
2348,18,99873_ MONROE       , USA    ,200,0.149000003934
2560,19,99874_ ADAMS J Q    , USA    ,22,0.377000004053
2778,20,99874_ ADAMS J Q    , USA    ,22,0.377000004053
2996,21,99875_ JACKSON      , USA    ,555,-0.215000003576
3213,22,99875_ JACKSON      , USA    ,555,-0.215000003576
3430,23,99875_ JACKSON      , USA    ,555,-0.215000003576
3938,25,99876_ VAN BUREN    , USA    ,100,0.0480000004172
4447,27,99878_ TYLER        , USA    ,29,0.22499999404
4933,29,99879_ POLK         , USA    ,100,-0.665000021458
5877,33,99882_ PIERCE       , USA    ,100,0.217999994755
6115,34,99882_ PIERCE       , USA    ,100,0.217999994755
6351,35,99883_ BUCHANAN     , USA    ,100,-0.630999982357
6837,37,99884_ LINCOLN      , USA    ,200,0.375
7028,38,99884_ LINCOLN      , USA    ,200,0.375
7642,41,99886_ GRANT        , USA    ,200,0.163000002503
7897,42,99886_ GRANT        , USA    ,200,0.163000002503
9351,47,99889_ ARTHUR       , USA    ,200,0.0939999967813
10632,51,99891_ HARRISON B   , USA    ,200,0.236000001431
11312,53,99890_ CLEVELAND    , USA    ,100,-0.372999995947
12403,56,99892_ MCKINLEY     , USA    ,200,0.223000004888
12763,57,99893_ ROOSEVELT    , USA    ,200,0.428000003099
14245,61,99894_ TAFT         , USA    ,200,0.230000004172
14643,62,99894_ TAFT         , USA    ,200,0.230000004172
15044,63,99895_ WILSON       , USA    ,100,-0.402000010014
15921,65,99895_ WILSON       , USA    ,100,-0.402000010014
16815,67,99896_ HARDING      , USA    ,200,0.46099999547
17263,68,99897_ COOLIDGE     , USA    ,200,0.370000004768
17699,69,99897_ COOLIDGE     , USA    ,200,0.370000004768
19430,73,99899_ ROOSEVELT F  , USA    ,100,-0.504999995232
19873,74,99899_ ROOSEVELT F  , USA    ,100,-0.375999987125
20311,75,99899_ ROOSEVELT F  , USA    ,100,-0.24699999392
20750,76,99899_ ROOSEVELT F  , USA    ,100,-0.118000000715
21198,77,99899_ ROOSEVELT F  , USA    ,100,0.0120000001043
22081,79,99900_ TRUMAN       , USA    ,100,-0.275999993086
22525,80,99900_ TRUMAN       , USA    ,100,-0.275999993086
22971,81,99900_ TRUMAN       , USA    ,100,-0.275999993086
23410,82,99900_ TRUMAN       , USA    ,100,-0.275999993086
23854,83,99901_ EISENHOWER   , USA    ,200,0.127000004053
24290,84,99901_ EISENHOWER   , USA    ,200,0.127000004053
24728,85,99901_ EISENHOWER   , USA    ,200,0.127000004053
25171,86,99901_ EISENHOWER   , USA    ,200,0.127000004053
25610,87,99902_ KENNEDY      , USA    ,100,-0.629999995232
26055,88,99902_ KENNEDY      , USA    ,100,-0.629999995232
26056,88,99903_ JOHNSON      , USA    ,100,-0.521000027657
26497,89,99903_ JOHNSON      , USA    ,100,-0.521000027657
26939,90,99903_ JOHNSON      , USA    ,100,-0.521000027657
27377,91,99904_ NIXON        , USA    ,200,0.46099999547
27820,92,99904_ NIXON        , USA    ,200,0.46099999547
28260,93,99904_ NIXON        , USA    ,200,0.46099999547
28261,93,99905_ FORD         , USA    ,200,0.486000001431
28703,94,99905_ FORD         , USA    ,200,0.486000001431
29142,95,99906_ CARTER       , USA    ,100,-0.728999972343
29580,96,99906_ CARTER       , USA    ,100,-0.728999972343
30020,97,99907_ REAGAN       , USA    ,200,0.737999975681
30458,98,99907_ REAGAN       , USA    ,200,0.737999975681
30896,99,99907_ REAGAN       , USA    ,200,0.737999975681
31334,100,99907_ REAGAN       , USA    ,200,0.737999975681
31774,101,99908_ BUSH         , USA    ,200,0.648999989033
32215,102,99908_ BUSH         , USA    ,200,0.648999989033
32653,103,99909_ CLINTON      , USA    ,100,-0.479999989271
33091,104,99909_ CLINTON      , USA    ,100,-0.479999989271
33537,105,99909_ CLINTON      , USA    ,100,-0.479999989271
33980,106,99909_ CLINTON      , USA    ,100,-0.479999989271
34420,107,99910_ BUSH         , USA    ,200,0.981000006199
34862,108,99910_ BUSH         , USA    ,200,0.981000006199
35303,109,99910_ BUSH         , USA    ,200,0.981000006199
35742,110,99910_ BUSH         , USA    ,200,0.981000006199
36189,111,99911_ OBAMA        , USA    ,100,-0.377999991179
36634,112,99911_ OBAMA        , USA    ,100,-0.377999991179
37077,113,99911_ OBAMA        , USA    ,100,-0.377999991179
